user_id	jobroles	career_level	discipline_id	industry_id	country	region	experience_n_entries_class	experience_years_experience	experience_years_in_current	edu_degree	edu_fieldofstudies
163	2580946	6	0	14	de	6	3	7	3	0	8,2
165	3682084	3	0	2	de	7	3	4	2	2	5
224	2447454	3	0	0	de	0	1	3	2	2	6
242	2385717,3362418,4284901	5	0	0	non_dach	0	3	6	1	0	3
276	3378061,3482421	3	0	10	de	9	3	7	5	2	8,7
283	122376	0	0	21	de	12	3	4	2	2	
291	1426917	0	0	2	de	7	3	0	0	0	8
302	2804344,502342	4	0	0	de	0	3	6	0	2	3
379	1581843,2809854,517828	4	9	21	de	2	3	6	3	0	
388	974288	NULL	0	0	de	1	3	7	3	0	
478	3434618,1639789	3	12	16	de	6	3	6	5	0	
517	76751,1501968,1646320,451319,744365,666676	0	2	1	de	1	3	5	3	0	2,8
521	508637	3	0	21	de	9	2	5	3	3	5
693	2385717,3079492,1284613	1	0	0	de	0	2	3	1	1	
733	2111897,2573697	4	0	0	de	0	3	6	5	2	8,2
753	2221272	0	17	13	de	7	3	4	1	1	7,2
776	2928384,165098,3755915,502342,524518,1119112,1405333	0	0	18	de	10	3	7	3	2	7,4,8
927	4533036	4	0	0	de	0	2	4	1	0	
1021	3500451	0	1	1	ch	0	1	0	0	0	
1239	3524213	4	2	21	de	3	3	4	1	2	
1286	0	NULL	0	0	de	2	2	5	0	1	
1422	0	NULL	0	0	de	10	2	4	0	1	4
1472	612078	4	0	0	at	0	3	7	5	1	5,6
1484	2314529	NULL	0	0	de	2	2	2	1	2	5
1486	0	NULL	0	0	de	9	3	3	0	2	8
1509	2980907,1636444,1581843	4	0	0	de	0	3	4	1	0	8
1599	2862074,3432139,2396442	4	0	1	de	10	2	5	3	0	
1797	234916	3	0	0	de	0	3	6	3	0	
1932	3478136	0	0	0	de	0	3	6	2	1	3
1982	3079492	NULL	0	0	de	7	2	2	1	1	
2062	1822565	0	0	17	de	2	3	5	3	2	8
2116	502237,3240672	0	0	0	de	0	3	2	2	3	
2134	991642,2915824	5	0	8	de	9	2	0	0	0	
2167	205304,3913136	0	0	0	at	0	3	5	4	0	
2169	0	NULL	0	0	non_dach	0	1	0	0	0	
2330	0	NULL	0	0	de	2	1	0	0	0	
2374	3026386	3	0	21	de	6	3	5	1	0	3
2459	1310272,285622,4499478,4284901	4	0	18	de	10	3	7	4	0	
2489	695787	0	0	0	de	0	3	5	1	0	2
2553	128836	3	0	13	de	6	3	5	3	0	
2662	2223482,1581843	5	0	0	de	0	3	7	1	0	5
2720	2135130	0	0	3	ch	0	1	4	1	3	
2750	1549791	6	19	8	ch	0	3	6	2	0	8
2769	1549791	6	0	0	de	0	3	7	1	0	3
2870	2978502	3	3	21	de	6	3	4	1	0	
2876	524518,1319614	6	0	0	de	0	3	6	6	3	
2989	0	NULL	0	0	ch	0	3	3	0	0	7,9,2
3046	221785	0	0	2	de	7	2	4	1	1	8,2
3101	3432139	3	18	9	de	2	3	4	1	2	
3115	150052	0	0	8	de	0	3	4	1	2	
3238	0	0	0	10	non_dach	0	1	0	0	0	
3283	4461776,76751,3240672	3	6	11	de	9	3	4	1	0	
3303	0	0	0	15	de	0	1	0	0	0	
3376	0	NULL	0	0	de	0	1	0	0	0	
3392	444534	3	23	15	de	7	2	6	1	0	
3427	3185846	NULL	0	0	de	6	3	7	3	0	
3507	517169	0	0	1	at	0	2	6	0	0	
3705	2573697,2210017	3	0	2	de	7	3	7	3	0	
3742	4141254,1038436	3	0	21	de	6	3	4	4	2	8,2
3749	4284901	6	0	7	de	7	2	7	2	0	
3766	1581843,4480752	5	0	0	ch	0	3	6	1	2	
3829	0	NULL	0	0	at	0	1	0	0	0	
4036	4490078,1581843	0	0	1	de	10	3	5	4	2	2
4037	744365,3474546	6	2	14	de	7	3	7	7	2	5,9,2
4071	0	0	0	2	de	2	3	5	3	0	
4104	1567693,2573697	4	7	21	de	6	3	4	2	2	8
4122	3768439,127768	2	14	21	de	3	2	2	1	1	7
4124	3478136	0	0	8	de	5	3	6	1	0	
4135	0	3	12	16	de	2	2	5	3	0	
4297	2082758	4	0	21	de	6	3	7	4	0	
4433	682906	0	3	1	de	9	2	7	0	0	
4613	351144,76751,2285759	NULL	0	0	de	7	3	4	2	2	8
4791	2344421	0	0	1	de	0	3	7	2	0	
4856	2387291	0	0	19	de	8	2	5	4	0	
4949	2135130	0	0	19	ch	0	3	0	0	2	8
4977	492263	3	0	1	de	1	3	5	1	2	9,2
5007	2511583,1492339,2110329,2099844	4	0	0	de	0	3	7	2	2	8,2
5053	0	NULL	0	0	de	2	1	0	0	0	
5073	154542	5	0	14	de	2	3	7	4	3	
5123	1581843,1897232	4	0	0	de	0	3	7	3	2	3,8
5282	1283916	0	0	14	de	2	3	0	0	0	8
5500	3836325	0	0	0	de	0	3	5	1	1	3
5564	3418410	0	0	0	ch	0	2	4	2	1	8
5640	86942	0	0	21	de	2	1	0	0	0	8
5702	991642	4	0	0	de	0	3	4	2	2	8,2,7
5707	3227036	0	0	13	de	3	2	4	3	0	
5714	4490078	0	0	9	de	2	3	4	2	2	8
5742	2111897	4	0	0	de	0	1	7	2	0	
5770	3363389,4284901,1792965	3	0	0	de	0	3	7	7	0	
5938	2210017,635441	3	6	11	de	1	2	3	1	2	2
6034	4546220,3720944	3	0	0	de	0	2	7	6	2	7
6037	1119112,897463,4546220,1441262	0	0	0	de	0	3	4	4	2	2
6141	0	NULL	0	0	de	3	1	0	0	0	
6149	1095246,3772375,3079492	0	0	17	ch	0	3	4	2	2	2
6396	3135218,2978502	0	7	5	de	0	1	0	0	0	
6533	1869807	NULL	0	0	de	1	3	4	1	2	3
6599	0	NULL	0	0	de	2	2	1	0	0	
6627	3517194	3	0	1	de	6	2	7	7	0	
6631	524518	0	0	10	de	2	1	5	4	0	
6824	3913136	3	1	2	de	7	3	7	1	0	
6907	2178060	NULL	0	0	de	3	2	4	1	0	3,5
6933	4490078	3	0	3	de	6	1	7	5	0	
6937	3341539	3	0	0	de	0	3	5	2	2	7
6952	0	0	0	6	de	9	1	0	0	0	
6994	508447	NULL	0	0	de	15	2	4	2	0	3
7154	0	NULL	0	0	de	4	3	4	0	2	8,7,2
7366	0	NULL	0	0	de	10	2	4	0	2	8
7407	22459,4308655,2473582	3	0	0	de	0	3	5	1	2	4
7437	18903	3	14	17	de	9	3	7	1	0	5
7698	3952169	0	0	12	de	2	3	5	3	0	
7767	0	NULL	0	0	de	9	1	4	0	1	8
7979	1549791	5	0	15	de	9	1	0	0	0	
8007	2639791	3	0	7	de	6	2	5	3	0	
