,NDCG,competition_score,map10,map2,map20,map5,name,recall,user success
0,0.00288287393618,4882.6017414,0.00120763800705,0.00115,0.00131017508883,0.00113630555556,Baselines/most_popular_by_attributes.csv,0.00594050870701,0.0158
0,0.0733702980388,82840.6117491,0.0509575894916,0.0615061506151,0.0510805913373,0.0526297074152,CB/content_jaccard_based.csv,0.0940666320751,0.205820582058
32,0.083435365821,95259.9639704,0.0559090864512,0.06775,0.0564235230222,0.0574968333333,CB/sub[30]_tf_idf_user_item_shrink=0.csv,0.112333153185,0.2376
38,0.0849969243089,96668.6110441,0.0570835849868,0.06935,0.057594395457,0.058839,CB/sub[30]_tf_idf_user_item_shrink=10.csv,0.114032221887,0.2402
41,0.0859587211871,97805.1648654,0.0577300588939,0.070425,0.0582525876958,0.0596787222222,CB/sub[30]_tf_idf_user_item_shrink=20.csv,0.115180824327,0.2424
49,0.0930285409085,97948.032977,0.0595424211447,0.0688778361462,0.0604338511959,0.0604680960719,TFIDFMarco_1_12_14_0_1_15_15.csv,0.135111581034,0.279535039678
47,0.0822376966513,88691.4135173,0.0513872412139,0.0607186766514,0.0525037267371,0.0523373446096,TFIDFMarco_1_12_14_0_1_3_3.csv,0.121913752379,0.256845870124
4,0.0455424007424,55796.4379937,0.0245767878309,0.0292276740807,0.0254627918593,0.025066099127,TFIDFMarco_noint.csv,0.0753396184591,0.173913043478
46,0.0817716122784,88602.9896017,0.0512778866964,0.0605622846983,0.0523652621066,0.0520903557185,TFIDFMarco_w1=1_w2=14_w3=18_w4=-04_wtag=1_wtitle=3_wj=3.csv,0.120857815322,0.254472719191
48,0.0915615667281,96544.594082,0.058495795331,0.068011624008,0.0595666065464,0.0594658048011,TFIDFMarco_w1_01_w2_12_w3_14_w4_00_wtag_1_wtitle_2_wj_2.csv,0.133613282378,0.275287805968
45,0.0928766063911,76977.6014348,0.0638791490558,0.0708001675744,0.0635621323962,0.0654430247172,sub_interactions.csv,0.115742224793,0.270353302611
42,0.0859673179188,97805.1648654,0.0577358324772,0.0704320432043,0.0582584135372,0.0596846906913,sub_tf_idf_user_item_shrink=20.csv,0.115192343561,0.242424242424
