,NDCG,competition_score,map10,map2,map20,map5,name,recall,user success
0,0.00288287393618,4882.6017414,0.00120763800705,0.00115,0.00131017508883,0.00113630555556,Baselines/most_popular_by_attributes.csv,0.00594050870701,0.0158
0,0.00462759706627,8479.53404457,0.00108794513553,2.500250025e-05,0.00134539095083,0.0001366803347,Baselines/BPRMF_num_factors=15_bias_reg=0_reg_u=0.0025_reg_i=0.0025_reg_j=0.00025_num_iter=30_learn_rate=0.05_.csv,0.0133098345396,0.027902790279
1,0.00508257209484,9017.34703713,0.00150244734413,5.00050005001e-05,0.00170617140532,0.000944261092776,Baselines/BPRMF_num_factors=10_bias_reg=0_reg_u=0.0025_reg_i=0.0025_reg_j=0.00025_num_iter=30_learn_rate=0.05.csv,0.0133530704927,0.028902890289
0,0.00476455441616,8649.94876873,0.00109297289643,2.500250025e-05,0.0014159722286,0.000381204787145,Baselines/BPRMF_num_factors=20_bias_reg=0_reg_u=0.0025_reg_i=0.0025_reg_j=0.00025_num_iter=30_learn_rate=0.05_.csv,0.0134327537857,0.028402840284
2,0.0077145785978,12051.6826539,0.00347819064786,0.00287528752875,0.00364201924667,0.00323118422953,Baselines/WRMF_num_factor_s=10_regularizatio_n=0.015_alpha=1_num_iter=15.csv,0.0159283394368,0.035803580358
0,0.00818074140206,13056.8456695,0.0034962559937,0.002800280028,0.00382212580955,0.00324538009356,Baselines/WRMF_num_factor_s=15_regularizatio_n=0.015_alpha=1_num_iter=15_.csv,0.017363464694,0.0400040004
0,0.0085823714473,13819.2496643,0.0034824332301,0.00297529752975,0.00381691101544,0.0032760498272,Baselines/WRMF_num_factor_s=20_regularizatio_n=0.015_alpha=1_num_iter=15_.csv,0.0188472997183,0.041904190419
3,0.0201516647402,26659.1955646,0.0109689905798,0.0151944444444,0.0110505489707,0.0116860802469,item_sim.csv,0.0300260864703,0.0822222222222
4,0.0455424007424,55796.4379937,0.0245767878309,0.0292276740807,0.0254627918593,0.025066099127,TFIDFMarco_noint.csv,0.0753396184591,0.173913043478
5,0.0533215601443,68321.2837407,0.0315954327916,0.03545,0.0322529077723,0.0316646666667,k_int_6_shrink_10_knn_750_KNN=50_pools=interactions.csv,0.0822164187037,0.183
7,0.0571809403914,70399.7439864,0.0361221362434,0.040025,0.0365622109838,0.0364765,k_int_1_shrink_1_knn_750_KNN=50_pools=interactions.csv,0.0827903865986,0.1861
6,0.0571809403914,70399.7439864,0.0361221362434,0.040025,0.0365622109838,0.0364765,k_int_1_shrink_1_knn_500_KNN=50_pools=interactions.csv,0.0827903865986,0.1861
9,0.0571475409205,70381.8550975,0.0360735631141,0.039925,0.0365097303651,0.0363639166667,k_int_1_shrink_10_knn_500_KNN=50_pools=interactions.csv,0.0827959421541,0.1862
8,0.0571475409205,70381.8550975,0.0360735631141,0.039925,0.0365097303651,0.0363639166667,k_int_1_shrink_10_knn_750_KNN=50_pools=interactions.csv,0.0827959421541,0.1862
10,0.0556748512996,69849.4218036,0.0340232215136,0.0377,0.0346025050174,0.0341008055556,k_int_3_shrink_1_knn_750_KNN=50_pools=interactions.csv,0.0834112756845,0.1858
11,0.0529744903976,68414.2933363,0.0309042900762,0.03475,0.0317129383791,0.0310651388889,k_int_6_shrink_10_knn_750_KNN=500_pools=interactions.csv,0.083442300015,0.1848
12,0.0556855329635,69857.5170417,0.0340099940004,0.037625,0.0345865241796,0.0340655833333,k_int_3_shrink_10_knn_750_KNN=50_pools=interactions.csv,0.0835350852083,0.1858
13,0.0537640127641,69570.1546233,0.0313479787887,0.035125,0.0320975936835,0.0313816944444,k_int_6_shrink_10_knn_750_KNN=100_pools=interactions.csv,0.0848291064497,0.1871
14,0.0557996885509,70622.7161251,0.0333768287037,0.03665,0.0341030457401,0.0333719444444,k_int_3_shrink_1_knn_750_KNN=500_pools=interactions.csv,0.0865994139587,0.1891
