user_id	recommended_items
2506752	1636910,1165605,313851,2778525,1386412,2593483,536047,784737,749431,468120,1953846,1119495,1053542,1241464,2734883,2791339,1652258,2039314,657183,2650926,1646349,1580946,343377,1984327,2187714,1069281,1927732,1916779,779190,2228095
1711104	784737,1386412,830073,657183,1244196,2791339,1162250,343377,2002097,1984327,1069281,1443706,468120,1053542,1953846,2489959,1092821,2593483,2106311,437245,1096406,470426,2117630,734196,2156629,1583705,1269685,486936,2037855,668146
2674692	1053542,1443706,2593483,343377,2106311,468120,2187714,687732,1776330,374376,2313894,470426,2446769,734196,2031981,668146,72465,2489959,1576126,1269685,779190,2037855,1679143,266412,1165605,1729618,1927732,2420135,1119495,1851386
2105352	2339838,1244196,1386412,657183,1092821,2270467,2813294,2778525,364428,1382071,142295,1053542,2620827,194241,1829050,1984327,2784981,1788393,925129,976376,2593483,2465606,1825038,536047,2002097,1716463,1583705,1790541,2827170,2413494
246444	1386412,1984327,657183,784737,468120,2734883,1775761,205039,2650926,2289895,2778525,536047,1162250,1119495,1953846,830073,2187714,2106311,1920047,313851,779190,1636910,1053542,1765833,1069281,2002097,1576126,1652258,2277810,1586519
1536516	1244196,931519,2770160,493460,1386412,1162250,1056667,2625619,823512,657183,1330328,2778525,830073,265522,584772,2489959,1729904,2712481,1867675,2128544,784737,536047,43306,1984327,415358,2187714,278589,2309062,821462,2705759
1530924	2409634,2506235,2154094,657183,1851386,1244196,967007,1386412,1143182,1068933,1534621,83285,1732848,2287678,1096406,1053542,2588490,265291,226679,536047,1162250,656507,1585842,1443706,2031981,1559941,2668381,2791339,2648928,1434088
1343832	1576126,1244196,2778525,536047,2277810,1874222,1287323,266412,2594163,2420135,1742604,1090310,685185,1174707,2157469,2709576,1053542,2391408,1386412,583204,1317915,1903410,1096406,935545,1331898,1242418,337976,2426765,1984077,2650926
2492436	1492887,1183228,149052,226060,2827170,333993,2011159,2476293,829088,213925,1299074,1646883,2778525,2272378,2580537,2183922,1596124,2205815,2208324,343377,657183,1162250,2791339,1984327,1776330,1583705,2106311,2183351,2466095,266412
61512	468120,270411,2778525,679020,1604145,1244196,2302683,1266442,1274752,1295570,667505,784737,2710611,1162250,1048520,620917,117372,941878,2271544,2273931,1056667,1053542,1386412,2146033,714060,1583705,830073,657183,1717731,723096
2677020	2778525,1244196,1053542,1922189,399596,766060,276031,640407,200431,2834536,11931,2471510,2050227,57125,512681,1801186,2680587,436574,1985135,1230223,1200837,2392150,2475636,522402,1146968,960646,1817910,2197213,1477734,2334188
2328600	2205815,1244196,2625619,2219078,1386412,931519,1053542,1576126,2128544,1867675,2462072,657183,1953846,616365,2770160,1069281,2113458,2791339,374376,632873,415358,313851,493460,536047,2218230,1062021,2155146,265522,254339,2392415
247644	934577,1386412,1677336,1162250,2109677,69958,2420135,1953846,2107649,278589,167754,2307899,2313894,270411,1056667,2180322,1278439,1242437,1304669,2586235,1967318,460717,1604145,1583705,2302683,2148842,1316837,2705759,2555263,452488
1605660	468120,784737,1953846,2778525,1274752,1249278,536047,1162250,2791339,1053542,2593483,2459081,1984327,2420135,830073,668146,1679143,1583705,1591624,1269685,2002097,2198329,1112507,1776330,1119495,213792,1092821,730450,667505,1768483
1043400	2770160,2625619,1576126,1053542,1953846,1056667,931519,1386412,830073,1162250,1330328,435233,1069281,468120,374376,1636910,723096,584772,2313894,270411,1062021,784737,657183,2302683,2104098,1472716,902591,399435,1316837,460717
