user_id	recommended_items
2588672	923765,1553863,2549271,2067730,1397455,1222262,2077577,1234294,1503054,339782,2195100,2253709,1074097,472419,1794684,414935,2751695,1658863,2060537,2749677,770771,256486,2829450,2618506,2151825,560132,939326,1441077,2511094,2657139
2506752	1481268,2040702,25440,1006652,2289749,65482,1181799,540979,526888,1426625,1346850,1844153,1409571,1624941,564919,1799103,760770,1392583,1330926,2028562,49217,554579,1003612,1234441,2639841,2515172,2638405,708380,331022,389552
884740	2156629,213792,730450,1313668,880071,1806731,2484710,779190,1369323,204081,1514174,631200,415653,528823,2186445,483084,1376308,2521154,2359338,2789080,566772,231010,437245,1974163,1244787,2354886,1559696,988926,2292420,1824827
1174056	2711315,2805071,176253,1025695,246240,746671,512182,1196123,2622779,1374752,1141233,1468511,1207007,214579,1109983,2557995,2145208,1274825,1441045,889346,212599,148218,693214,2329941,51286,404434,2044502,2194828,872728,1615866
2105352	1236112,2328099,109899,2156629,1386412,2545436,612738,173225,1516424,2807897,1563564,1507422,698818,2500474,1431054,521141,2807188,2195523,1572098,2748031,742769,1406030,522610,2710495,330482,653252,600259,745645,576177,1657378
352268	470172,1914698,1183161,1933499,1671913,2172515,1343835,430530,479554,2786880,161784,804400,2265229,2804150,1014202,332921,527396,1983879,2323146,2813174,662408,121415,2809141,2216072,504684,79211,1615866,178496,2094372,2754509
262160	2767278,1029509,394762,2486630,2264928,2192333,2783882,2471959,2694122,1384259,1018166,2659218,297246,1504722,1520432,2098322,78655,1320657,482365,1198388,20139,978349,30822,956363,1295001,1335648,1655128,2755871,946816,2384852
1829280	2596422,2311208,1433595,2657505,1490934,1159631,461326,1736030,1959608,470426,2085818,1504067,810647,907342,1341802,868350,563973,1457959,2180900,2243948,2052563,734196,1695382,864927,1265409,222022,2758322,1442073,751097,2254717
2752532	165753,814036,441436,1411484,2165357,1698270,2373231,456714,2044173,1839893,2395578,949664,964980,1136028,1718718,2622258,2226399,2039826,1541057,535324,2414157,877741,671698,2770998,2817739,447873,2703363,2074256,1099981,1086162
2039832	163823,966923,597716,1542183,1304640,2809272,2457759,533161,547399,241744,461886,2134899,49105,133045,1122547,887843,1589212,829419,747970,644040,1353109,28821,2108927,288120,2812325,892986,831362,319473,1165303,1505173
544772	2719696,1182386,694833,123233,2365223,2550228,2763383,1916118,2037542,418007,2082637,64637,2169495,333260,589970,1652994,2260553,2346702,26175,4285,1774523,131706,1385544,458409,2474303,1990772,2615007,1640213,1608954,1431054
2850844	2689168,1966318,1233396,2017044,1494431,87315,2672481,1055596,586955,1095083,323626,110222,2297926,2288886,998371,2563686,2320802,2317716,568494,1786794,1094523,1426451,1334602,2295250,995582,841813,158625,212110,290236,139329
2129952	2521990,2262479,1300183,2374997,1921577,2221056,505795,2017516,2511483,275929,1326516,2603283,943834,593562,1096344,2833643,43746,1486173,438518,2505741,2053949,1253051,1970617,515647,1546093,464609,1019003,2502215,1327609,126509
813984	2313638,126771,2623376,2556447,2450958,2434880,1150956,728085,2646889,1518792,903173,1440071,1698783,2057460,2442708,402229,1108754,1171543,296131,2033996,276300,2549888,2150265,1506817,2674265,1075441,1161771,1220372,2753842,555329
2023460	2262738,2282227,1582074,2629771,2079251,148853,2531430,89649,1614416,2046549,387410,592481,535842,301275,1966145,425245,1442171,860776,657607,1800449,2267083,2021011,1918997,1750040,1392594,1625851,2624259,1532709,809987,2276574
2413308	1708619,2401379,946440,611630,2134842,1193263,2414458,1877484,1543856,255085,2731358,1284889,1945291,1918997,862730,947360,1372691,2445542,1848945,541419,1459917,1687929,900425,195843,2436274,1912841,2632866,2550356,2395026,2126894
122920	1111528,2175903,1907407,1266811,703829,2403000,2482683,438890,156563,1851478,2162471,2414247,440144,2074856,1780396,34406,1293478,2668381,1583678,1958626,2203636,84183,493354,148507,2371739,1823865,2154094,1143182,1502698,2118688
2039852	1393183,508676,1376176,1331620,2711875,41126,559194,2619703,405042,130855,438287,284353,1399170,2622781,2154851,1345042,1673229,1646974,1039921,2507104,1120901,1834037,1390496,2536734,2419350,1625061,849983,2348489,2384857,2253349
2441264	2426606,900473,2403351,1370268,573466,1171299,1445867,544329,2629953,2271544,2351301,2743555,854665,1828802,556061,1775817,1755744,638039,2299142,177954,1831661,62537,1754977,1453631,1559662,1334602,2818391,984443,1118214,202105
65592	420615,1504067,1764079,1246804,877959,1058866,810647,1861034,1332112,2062022,2005476,1433595,707471,1187799,1913320,2251098,868350,419780,1280782,1535661,2180900,2755931,449192,331877,134202,2075010,1024575,1918142,545957,1457959
1645236	2590469,1357441,1814047,1897949,1856276,1942164,207240,1948123,1586805,2538396,662309,2396039,2113787,2276554,2703601,1903114,2540060,2670747,1419906,1835008,1200307,1927539,1899223,952181,642670,1420865,2196931,678463,1819187,1772841
147516	646717,2401405,2477290,1807370,568864,69761,722139,1425326,2665186,1964689,541248,2567768,1058158,2353221,172898,1480502,2428303,917933,2625018,1680740,1920318,2259312,2509024,1337862,1746658,2395423,2102700,1710715,2427938,82104
2477140	2553252,2277316,1385544,742769,1381604,623334,1406030,1172902,600076,199370,1512893,1932806,333260,1399204,371046,612738,2260553,1759655,445066,607544,1559172,1358371,2671764,2267848,287564,2326594,2538273,1871819,451953,967580
32836	839120,2751695,2067730,1309755,78159,489059,1467690,2549271,994749,1553863,2765948,744840,1779376,764527,1111660,1873133,939326,2618506,2829450,436912,1138117,2511094,923765,1809053,2705939,2253709,353733,2447465,1337566,679373
1245256	2401405,83428,1917950,1853534,1964633,853955,808871,125034,825278,1832862,1920318,1149816,1009817,2220429,2156698,1684747,1501242,2120711,600580,859108,1485983,2360040,568864,1547769,1089257,865499,995073,483721,1195804,496580
1761632	2603402,1775453,227003,916457,1149935,1745881,759592,528531,1014573,878594,667112,1169344,1069851,574815,412188,1915814,945468,36166,2383907,1059753,2533710,219030,1189044,1169340,2018922,260096,1557442,2348960,280930,1631649
2015316	2369033,2325314,2096015,1818619,310299,1794642,1853679,2206474,725887,1438395,695079,1953903,1296143,1140603,16599,2683700,2514739,720400,304101,334425,2680926,1789520,468640,1148278,853598,41812,2063924,579085,77211,1827749
