user_id	recommended_items
2588672	923765,1070094,1553863,2549271,2067730,56993,1397455,1222262,2294453,2077577,547654,1234294,1503054,339782,510461,2195100,2508062,2253709,1074097,1922036,472419,1794684,2748150,414935,2751695,1244196,1658863,2060537,2749677,2163175
2506752	1481268,2040702,1636910,25440,1165605,1006652,2289749,65482,313851,1181799,2778525,540979,526888,1426625,1386412,1346850,1844153,2593483,1409571,1624941,536047,564919,784737,1799103,760770,1392583,749431,1330926,2028562,468120
884740	779190,2156629,1386412,213792,730450,1313668,657183,880071,2778525,1806731,2484710,2791339,1369323,1636910,204081,1514174,2187714,631200,415653,528823,313851,2186445,483084,1920047,1376308,2521154,2205815,2359338,1162250,2789080
2105352	1386412,1236112,2339838,2328099,109899,2156629,1244196,2545436,612738,173225,657183,1516424,2807897,1092821,1563564,1507422,2270467,698818,2500474,2813294,1431054,521141,2778525,2807188,364428,2195523,1572098,2748031,1382071,742769
352268	470172,1914698,2590469,1183161,2235265,1933499,1671913,1376058,2172515,1343835,430530,2200859,479554,1494361,2786880,161784,2086041,804400,2265229,908778,2804150,1014202,332921,228623,527396,1608366,1983879,2323146,2813174,58071
262160	2767278,2778525,1029509,394762,2486630,536047,2264928,2192333,1386412,2783882,6834,2471959,2694122,1953846,1384259,1018166,2659218,830073,297246,1576126,1504722,1520432,2098322,374376,78655,1320657,1330328,482365,415358,1198388
2752532	165753,814036,1857507,441436,1411484,2011099,2165357,1698270,1386412,2373231,456714,1768483,2044173,1839893,2778525,2395578,949664,1492887,964980,2827170,1136028,1718718,2622258,149052,2226399,2039826,1360923,1541057,1898849,535324
2039832	2134899,163823,966923,597716,1576126,1542183,1304640,2778525,2809272,2457759,533161,1421084,547399,241744,270411,461886,278589,49105,2640118,133045,1122547,1244196,887843,1589212,1961697,829419,747970,644040,1778279,1353109
2674692	1443706,169408,1053542,1823148,657492,702399,160710,2593483,2723743,343377,1505460,1876397,2106311,1239307,2514210,468120,331683,1744886,2187714,2087109,600541,2681952,687732,1658609,1776330,200070,809911,374376,1234707,1248000
2850844	2689168,2596938,1966318,1233396,2778525,2017044,1494431,1576126,87315,2672481,1055596,2518408,586955,784737,1095083,323626,110222,1864789,2297926,1064370,2288886,998371,1552830,2563686,2320802,278589,2317716,568494,1786794,1244196
2129952	2521990,291669,2262479,1300183,2374997,882543,1921577,2590469,2221056,505795,2017516,955572,2511483,275929,2825431,1326516,589441,2603283,943834,1971458,593562,1096344,522659,2833643,43746,427450,1486173,438518,2505741,1724584
813984	1150956,2313638,1854924,126771,2623376,2002097,2556447,2450958,2434880,657183,728085,830073,2646889,1438082,1518792,903173,1440071,1698783,1069281,2057460,2442708,402229,1386412,1108754,784737,1171543,296131,1162250,2033996,276300
2023460	2262738,1244196,2282227,1582074,1576126,2629771,2079251,148853,2778525,2531430,89649,2426504,1614416,2046549,2671391,387410,592481,1044451,535842,2159004,301275,1966145,425245,1141367,1442171,860776,2234172,657607,1378066,1800449
2413308	1708619,1244196,2401379,946440,611630,2778525,2134842,1576126,1193263,2414458,1877484,1056667,1543856,255085,468120,2731358,1284889,380595,1945291,1918997,2302683,862730,1604145,947360,1372691,2445542,1069281,1848945,541419,105999
2383912	2564889,2413118,2009453,645370,1244196,2492672,2100609,1324132,11931,844819,436574,1014754,616592,703821,640407,1925375,637756,2784119,1445426,858861,2456024,1657710,2210530,2729978,1368824,899503,1725195,2102307,854847,1402355
2039852	1393183,1053542,508676,1376176,1069281,1331620,2711875,41126,536047,559194,2313894,2619703,405042,1386412,130855,438287,284353,657183,1399170,2545674,2622781,2154851,1345042,2791339,1673229,1646974,1162250,1039921,784737,2507104
1544496	490987,2769464,2557072,1938738,2009237,679373,1649280,2829450,2382674,1111660,923765,56993,547654,757523,1658863,1337566,2508062,1352744,2277750,1922872,2142386,2689933,30347,2484720,1604594,2287231,397412,2225609,2663455,2792689
983088	1544967,399596,525607,1624825,1971302,1053542,2356826,882152,2366659,1679770,1624781,50071,1354418,260995,640407,2811366,1477734,2604865,376469,1854295,446311,2760975,2729978,748648,1575512,1607185,2050227,541654,2003041,1844064
65592	2005476,420615,2631964,1504067,1764079,1559941,1246804,877959,665194,1058866,810647,1861034,460717,1332112,2062022,943964,2778525,1433595,707471,1244196,1187799,1913320,2251098,1368635,868350,419780,2506235,1280782,1535661,1391673
1645236	2590469,1357441,1814047,1608366,1897949,1856276,291669,1942164,207240,434421,1948123,1586805,2538396,660656,662309,2216717,2396039,2113787,2276554,882543,2703601,1903114,2348573,2540060,2670747,228623,1419906,1835008,1244196,1200307
147516	646717,2401405,882543,2477290,1807370,2778525,568864,1576126,69761,722139,1425326,1244196,2665186,291669,1964689,541248,1053542,2567768,1058158,2353221,2235265,172898,1480502,1604145,2428303,784737,917933,2625018,2698338,1680740
2477140	2553252,562740,2277316,1385544,2339838,742769,1381604,623334,1244196,1406030,1172902,2465606,600076,199370,1313179,1512893,1932806,2813294,333260,879992,1399204,371046,1825038,612738,2260553,2778525,1759655,445066,607544,1301883
32836	839120,2683814,2751695,2067730,490987,1309755,78159,2663455,489059,1467690,587660,2549271,994749,2163175,1553863,2765948,2382674,744840,1779376,1288246,764527,1111660,2748150,1873133,939326,2618506,1922036,2829450,547654,436912
1245256	2401405,244777,83428,1917950,1853534,36084,1964633,2778525,853955,808871,125034,1244196,825278,1832862,1576126,1920318,1583133,1149816,1009817,1053542,2220429,2156698,1735925,1684747,1501242,2463309,2120711,600580,859108,1447547
1761632	2603402,1775453,657183,227003,343377,916457,1149935,1162250,1745881,759592,2791339,528531,1014573,878594,1583705,667112,784737,1169344,1069851,2037855,574815,412188,1915814,1244196,945468,36166,2774804,2383907,1059753,1386412
2015316	2369033,2325314,660938,2096015,2770369,1818619,310299,1794642,1516995,1853679,2206474,2613649,725887,1981831,1438395,695079,1434566,1953903,1296143,345001,1140603,16599,2683700,1648491,2514739,2726037,720400,304101,1222493,334425
884824	2440010,2214299,1056667,979877,2756654,2625619,2180653,2694389,1330328,1703883,1936328,2309131,199163,1210621,374376,738984,1062021,2522040,1065900,1762450,1533369,2833409,1053542,134725,1489367,1386412,743484,756563,876326,21333
161124	651827,2817132,2302683,183777,1576126,1175554,138618,241837,1593289,2733124,1056667,944531,740915,1069281,562344,2672137,1514578,1386412,509021,1899529,784737,2305937,1953846,896941,485741,1359552,468120,1463345,1053542,581609
2826332	657183,2791339,1386412,536047,1162250,1583705,1984327,2446769,830073,2106311,343377,1851386,784737,1244196,1576126,2031981,2778525,954409,1053542,278589,515632,79531,1729618,550958,1526269,266412,1953846,1443706,1069281,1928254
352356	2277894,979909,2778525,654495,1053542,1033753,2794344,798086,1244196,1354638,1477734,2608725,1445125,2545674,673288,1970695,952014,123773,2184165,547157,747193,116221,28190,657183,476045,1211728,1386412,2453841,1861232,2284823
2821120	476543,2760349,2579995,1272740,512681,155423,460508,2664158,1053542,368383,2680132,2680587,597032,874218,269398,53347,1624781,591047,374018,794341,2016652,2162234,756046,1992725,1019598,1918281,2778525,2553522,1446206,1938590
2515048	874981,86750,1053542,886814,2489070,536047,1448948,2119368,657183,2775637,2092934,1386412,2559235,2450810,1162250,706795,784737,2217463,2302463,1069281,102539,644869,2545674,525821,1677791,2632598,351534,1382829,399596,1179871
1170108	825278,2156698,1241049,808871,1832862,2778525,859108,600580,2454083,1485983,612501,1735925,1149816,942338,256164,865499,2167994,2636095,2120711,537777,1365661,1815467,483721,546415,2401405,1794685,281887,2132087,2392415,1684747
2124908	1532386,2588320,1244196,998277,855709,1386412,2124198,889286,278589,294890,2778525,650888,2367246,1053542,977403,2349739,1443706,392049,2662000,593594,784737,2294645,2237632,2791339,300194,1738926,2002097,137547,1162250,1722184
1835128	1386412,2106311,2596422,69792,1244196,864927,2595009,2156629,931519,1806731,2121510,1827898,1092821,904965,253999,1690308,1053542,951143,43306,1727241,1533369,331683,1920936,1828488,174495,1313668,606006,1069281,2654071,437245
1433620	1472958,2763085,616971,2816799,1559350,2258756,1345750,1945674,1576126,474635,1953846,2729468,17632,2778525,2566671,8019,2146033,470725,2590861,240132,270411,1858785,924565,1244196,2007141,544902,667505,2661870,1048520,1996055
1638524	1771824,2272378,2255140,2397220,2074454,1688276,1762172,2047138,1038472,2120833,1724812,315651,1434814,1477734,808362,2521582,809310,1218780,877225,1765511,1125171,2796421,269398,2471428,2453154,1968512,458180,1603802,2488593,631827
2900096	1132800,1583705,2812984,208603,2031981,1677700,2110944,1877425,657183,974560,573330,2466095,1897496,1527082,1244196,1526755,1053542,2593120,1752853,2318561,536047,452844,2302406,1679143,50310,1162250,439561,1848515,291560,1386412
1678016	1749313,1386412,1009691,2776874,330233,998419,353522,1244196,298535,1511150,2208601,1923387,2077036,929053,1851096,1680982,1652258,1483488,2146612,786300,145343,1066079,1133256,1827488,1254793,2407114,2363185,1155083,2810038,1091036
983172	2564526,1381153,1854085,464087,1287265,1931571,847234,2514565,657183,621104,332482,1679143,1130484,1162250,2020771,1739321,243570,758125,222687,2789514,2446769,1190785,708674,1386412,1856257,2350789,712300,127184,795132,2791339
2736264	273914,1162250,1318539,2654997,236078,2791339,1834691,1025846,1386412,818031,689398,1069281,2638724,1523093,536047,1325285,784737,542863,2603404,569262,266412,1443645,1835934,1443706,1497570,685185,1446856,1148851,1561878,1903410
1148268	1383652,1244196,1434955,1150652,1421084,2273491,2250354,1953846,2188384,327227,2778525,1969747,2696759,1780277,468120,434644,2423380,536047,2094861,1386412,471907,899298,2313894,1421265,2176592,1274234,2420135,44970,1053542,1910860
1515660	1742787,2371249,2778525,992296,472258,347267,324229,1162250,448679,1063340,1053542,335392,2196857,2561110,1746628,838520,752321,657183,2756315,2002097,624064,289491,343377,1982755,897570,2307456,1386412,402007,784737,1224232
1731628	1546064,810648,1386412,1095319,468120,2710495,2377269,1565316,2593483,2279463,1092821,68304,1670543,1953846,871197,16356,657183,1194851,1830007,1053542,1345873,2013441,270296,536047,332604,1355420,270411,2662170,1069281,1160244
2408592	2689168,1576126,1233396,2317716,436574,841813,995582,1966318,399596,1494431,2017044,11931,110222,2672481,512681,1095083,1624781,1055596,1094523,2729978,323626,934799,1514804,586955,2297926,2288886,1661093,998371,2320802,2356407
749592	648288,468120,1369323,22451,988926,343377,1224232,536047,1512039,1155809,20373,2791339,2024684,2505741,1984327,732146,1583705,602383,150594,1620422,1776330,2724684,1137551,2106311,441824,1053542,2615055,2327021,1946934,470426
2134528	533689,343377,1158224,1304946,2312088,2791339,1902880,2031981,741927,2690364,746300,2106311,1179626,72465,2030127,2707354,1269685,1904703,1001040,1746531,2466095,1751179,1851386,2638724,266039,784737,785732,2723743,1526269,1505460
1638552	149571,2452685,1244196,715019,2778525,124545,1837934,460717,610344,410684,2642349,1033089,1560684,681766,23808,1343756,1943429,2323828,326610,1053542,2818199,1888219,2588490,1264446,2327398,546434,222295,1246249,917554,185962
2525892	438478,126205,1386412,1206811,426576,536047,2345924,250853,657183,1388309,1069281,359979,2016049,967063,1984327,2396877,1162250,1603504,708789,944872,468120,942427,1953846,1850468,1655469,2456150,2791339,1142815,1596773,830073
2687132	1261089,2658310,374376,439750,331238,2205815,1240596,1029684,931519,2183505,343125,2770160,1840000,2026261,1244196,520641,1977672,1718887,218770,1746133,1386412,263415,415358,541248,2058516,1576126,1619139,1250837,2262765,1025299
2564256	784737,657183,2002097,2106311,470426,734196,2593483,2156629,2596422,864927,2791339,951143,343377,730450,1162250,437245,1443706,1244787,1069281,1119495,486936,1984327,1806731,213792,880071,2489959,1843884,1506331,2810277,912754
1582448	1863049,1244196,1915147,2523807,2778525,1555003,1443349,715682,252673,611031,167754,1314863,999722,2778526,2427932,2338560,937146,452488,500648,2107649,610344,1553651,399598,1196739,2076266,69958,1756200,463568,2180322,1383764
1530588	1849328,1419906,291669,2120986,874570,1824686,2825431,828489,2728143,1140593,2113412,1686571,2196931,2216717,1814047,1903114,2348573,1670516,2240077,358962,964435,1856276,672580,1942164,1422576,697461,1772841,782728,882543,678463
258876	222687,2564526,1583705,795132,1381153,657183,325448,2466095,2020771,598958,226430,343377,1739321,2309349,266412,104725,72465,1659152,1856257,847234,1244196,1931571,1190785,569889,1130484,2350789,2446769,2789514,621104,536047
1646760	970951,22821,657183,583774,830073,2058580,2632912,1053542,1377176,1457714,1406505,399596,1077919,1576126,2782145,2029418,455214,2607585,1461094,436574,1548633,1466305,2598528,1854295,1058319,45548,640407,1403851,2330010,461272
1605660	2689168,468120,1494431,1233396,784737,1139128,1446193,1233566,1953846,2017044,2778525,2317716,1622709,2528565,1274752,1966318,1249278,525712,1850255,1426362,536047,1352246,827470,1162250,554207,2791339,1353343,158625,1053542,36353
1343660	573546,2117618,1037296,266425,1153267,536047,124475,2637434,1535344,1130555,2464226,1162250,850402,1244196,970200,2292540,1155809,2778525,657390,901190,1765833,1688110,125278,1300325,2415804,1695664,2283348,688781,2505741,2593483
2681544	2328099,2397769,2545436,612738,2234790,967580,1559172,310544,109899,760165,522610,1417963,2807188,2465606,259223,521141,1134688,662363,1572098,562740,1812911,333260,2813294,2586015,1153790,2531162,1481377,2538273,2086966,631310
1679552	276244,657183,2142331,1342669,1053542,392323,702940,1851386,1129963,1240745,2031981,2332267,249869,2202916,266412,2083394,129408,1386412,1852783,1956034,1953846,1666495,670782,536047,1366518,1850468,1984327,177944,1898190,830073
507936	2665186,1337862,266817,2395423,366457,1056667,2401405,1346206,616365,1917950,2167110,1624935,83428,2778525,853955,1964633,1856893,2247652,2185996,2529718,1244196,2260836,1196981,1684747,1321336,995073,2498181,646717,1964689,1808563
187408	2444655,509058,934577,770281,574342,1708125,559586,2778525,505925,2426436,2586628,1677336,977845,1195481,2230623,1946952,1633658,278589,1616984,117072,553619,1541733,1885101,593375,2644535,2074565,2107649,2665186,2037477,1412599
2394828	613590,784737,951564,2125551,1244196,2433923,1147489,2778525,71091,2806266,2235265,503387,1411683,1771822,2274112,1892243,2086041,96176,603575,291669,1605611,912768,1204590,1494361,648810,830345,2444321,899667,908778,174408
1114324	470426,2261649,34952,1386412,332604,2156629,433897,2790218,2004097,657183,708597,2255548,1244196,2581259,1181799,2791339,1346890,1162250,2002920,1409571,1821254,343377,760770,1685966,405393,2593483,1126676,2282800,307099,851531
2695388	2377223,1841137,1386412,1764507,1244196,2165635,678018,2390181,657183,28518,866942,343377,763785,2106311,1805623,1995080,1524190,2791339,1351650,1583705,34472,1348956,2798778,2446769,810218,1140610,2791529,378597,1710920,1679143
1048800	693733,2327774,2778525,758081,1576126,2108575,1604594,657183,2654843,995682,182233,2053655,2223409,2789170,1749097,1996525,1150657,1883184,2417863,375324,1659908,475439,185229,2424364,2484720,1583705,1169439,2255401,726686,650850
1768144	627238,1326577,2266338,1686058,244094,383547,592188,74342,883911,1388041,926318,2256093,761375,2566025,2366197,761664,95579,2650786,273485,1652255,2641949,2481805,1099314,1902500,1148262,559074,2476298,2684941,1163069,1775446
389268	126734,2359326,1244196,1610173,1053542,583560,733882,2280698,1953846,695633,2728678,1056667,274980,468120,2832536,1722184,233530,1069281,1003779,2238688,270411,107736,1386412,1059639,2030027,2750924,2205815,2645783,2707512,723096
