user_id	recommended_items
2506752	2834514,1636910,784737,2486575,2773055,521945,1754395,348599,2138292,1004665,1754884,277062,2323313,2287467,715276,1920047,1206685,1190437,1194436,1244196,270559,1666847,79531,1058425,1013112,1092821,648769,1481268,2040702,1165605
685398	18872,1326182,494063,1143790,1789905,1469274,1808119,2635278,2268069,668146,1165605,2791339,1162250,784737,1277697,2489959,1984327,2106311,23303,1679143,1729618,536047,215982,1861093,1386412,1163578,1443706,343377,2446769,1928503
2236422	3236,1053542,2484787,1386412,653691,1757314,2563037,1754395,2816640,2689314,1809817,1427409,2106765,2778525,2116146,999151,103803,117923,56993,1717754,2097556,882543,1748667,1570153,2423978,692524,616416,1593670,265522,1244196
2105352	2234790,213792,1134688,1417963,2397769,2246248,1986324,786038,2071286,749431,1353616,610011,310141,1245895,1680807,400085,2107316,562740,2791339,1652258,2143502,1430062,2544163,1386412,2339838,1236112,1244196,2328099,109899,2156629
1957902	2814015,1196133,2417933,1470277,1053542,257339,879003,1363178,823512,74220,421962,599811,1938510,34336,1825166,1541196,100696,1156803,1485223,1652986,1958084,1974416,111763,115570,296222,2816640,1528219,1482556,2478972,1184258
1269780	933698,98760,2545674,1208235,2522554,2660436,1808280,2189426,2833871,1316860,2086265,1206551,475121,378320,1460626,2060943,1477734,203955,1162250,1684803,2763546,1959963,2778525,791623,952014,1758436,2101444,1244196,906790,1053542
2039832	267092,2134899,163823,1576126,966923,2778525,597716,1421084,1542183,1304640,270411,278589,2809272,2640118,2457759,533161,1244196,1961697,547399,241744,1778279,461886,405439,1386412,49105,447985,133045,1928503,528854,1122547
2744346	616416,1162250,1345640,657183,2790548,115570,1553839,343377,1053542,2348605,2791339,1091213,1244196,1558385,2596732,784737,2031981,1918601,1402992,1776330,411711,1953846,1984327,1972835,1386412,410774,2690364,1583705,1140610,1179626
1605660	725181,2156629,1782176,1244787,1165973,1386412,2711875,1211479,2413494,1576126,1325341,270411,2415033,343377,657183,437245,1643230,1729618,951143,1140869,1244196,486936,1966734,1069281,481979,730450,2689168,468120,784737,1494431
1867806	2457040,399596,1624781,1033906,276031,1446206,1404680,2168372,966964,766060,1568054,1817910,2334188,461272,964898,391790,2729978,2752041,1528195,1574295,709051,640407,2770952,57125,2050227,420221,200431,280261,905704,11931
2129952	964435,291669,672580,2015174,784737,1669749,1531419,1794685,835031,1171205,2115187,2074244,778416,870545,566032,605947,589524,2285061,616416,2525693,554760,1244196,2698338,2599001,797433,1466656,2310939,303593,2568049,548377
450600	2778525,1947685,1504472,1058353,2233928,2113677,2343229,333000,1776930,2086181,359377,2140320,1659908,2802116,1660962,1445113,1690290,346782,1619879,1288715,823512,1320971,2315640,1588611,1586607,1053542,1452252,1928254,1427857,79531
1998894	270411,2413920,79531,2705188,2778525,714227,1927732,1519903,426174,437245,1844124,115570,2038475,949723,970538,2300234,961921,995658,483172,338775,1620758,2292067,838902,1359079,2180024,257337,41126,1320638,1140869,543296
2624442	1927732,1165605,516103,317818,79531,1195985,149928,1972717,951772,1824891,1373867,597321,332460,1588962,662884,1073372,593361,2638669,983341,1729618,1053542,597971,508278,2290837,935524,2347920,294831,1244196,1910607,1354418
2015280	536047,2327681,2197851,1319826,2413494,84180,202516,882543,288342,1217213,2745021,931519,1404301,595572,1244196,2778525,1071615,1053542,1376955,1953773,784737,2126784,291669,955884,1707404,1056667,1576126,2624004,830073,835797
1488222	1331957,690521,1506993,1581360,2698279,1416351,1020123,2629341,1506677,1379049,207943,2080680,658980,1677336,1961918,928174,1147981,1310496,672580,915880,1914222,1722408,2778525,2374621,1957228,155214,1053542,2335545,2391945,476045
65592	472040,1928254,2728446,463990,460717,1415725,2037477,2491575,2802638,334342,1046951,2662501,2211016,2018483,1780895,723096,1858885,1056502,561576,1339831,2356211,1780684,2406712,1541359,653365,426324,967007,2303808,2239159,2348229
1645236	2216717,987162,2825431,1486947,496610,1496156,2543257,2200859,1570385,2737707,1669749,2004444,1843411,2778525,278589,920520,2396714,2347920,2742570,1520097,683831,997263,1017459,697461,823512,1671267,1285047,340121,460717,2746483
376890	291669,926913,1784878,193200,803962,2539975,1663554,657183,216704,1984327,1042848,269512,1154124,756103,1386412,2086041,2791339,882543,79531,2778525,2347920,2302140,1928254,215982,195899,310988,278589,2120986,784737,1849328
147516	58071,2212459,1846186,2778525,1239082,1712984,2606234,2515078,632556,679751,2473005,2256512,967285,1491806,170512,498385,2540011,2148989,101035,1515132,414175,2612978,2389114,330938,925751,2701358,2117729,1648584,328865,439105
2474052	43306,1729618,873045,2796479,931519,1056667,2083881,940481,160181,1330328,2462072,2676773,335428,2625619,2705759,1729904,1244196,2182526,1718887,81551,48646,1747238,1975912,79531,2218230,541248,1533369,493460,372857,632873
2965578	2518073,239393,2127850,1843411,1681825,604795,129152,2590469,1244196,1398003,2778525,2216717,166946,920520,882543,2686239,964435,628121,1907046,2255841,602962,2826918,1616858,1163756,2047110,2178500,15530,1422576,1684708,1028918
589908	360505,1417963,580182,1825038,2778525,1630677,1460626,1244196,1317156,536047,2465606,2230441,43306,365533,2339838,2791339,2148267,2313894,142167,1576126,777911,2059218,2593483,1772723,657183,1162250,2713366,2308814,1386412,1452038
852054	468120,1591624,1576126,50006,270411,1151097,1961697,1606727,1754496,2827250,40810,1460778,1274752,2778525,1139641,2533917,1953846,2109200,827470,169068,2454622,2076,373303,485557,1244196,655358,899394,667505,2420135,665229
794712	1494170,2778525,573672,1056667,536282,1053542,294270,2477706,1244196,2687809,2499060,2538956,1555020,434952,2502702,1576126,2619022,922351,555150,132377,105410,2643674,882543,613893,1069281,2010249,723096,221065,1144489,330827
98394	1175819,818765,764552,2393888,653748,519512,2045681,668899,2503214,2192000,2108855,2498284,948089,568734,2512177,1743463,2704394,562740,629936,1134688,1825890,1576126,2432885,1176512,2778525,270411,2463882,1244196,2481805,1778279
213084	409934,1170946,219464,960988,1742581,2234403,904238,1487074,907348,1080406,757385,1098569,620343,172801,326717,740317,257692,2137916,2475088,1916779,2432198,1011174,2433528,138840,275770,916236,2536483,813488,1668037,2698468
1957986	1583705,2446769,2723743,1851386,710120,2031981,1505460,657183,2466095,112042,474639,1162250,599025,1984327,223414,1239307,2106311,200070,569889,266412,600541,2327164,2791339,331683,1679143,587136,1776330,1360656,1854085,939252
401508	281863,967442,2532887,734036,1216345,276920,717913,2432364,175165,826539,2329750,2102899,1244196,604515,1273658,997501,318747,1370743,1053542,1416120,2778525,1306295,975153,2095628,1056667,2246,1604145,1583705,1743071,2235444
