user_id	recommended_items
76800	490302,1063437,1442340,1208167,1577023,330380,1469617,27680,708153,1091578,398809,1848945,1333841,155380,1056667,2653086,2575832,2395026,2772979,238189,2343444,2021391,2005057,878042,926225,288404,630257,2311516,1906071,2813263
884740	687732,2593483,1707604,1082312,2500373,2637434,387569,1928254,2277810,1317915,1636910,1729618,1386412,2778525,1927732,1652258,2750191,2796479,194932,657183,1053542,1244196,1754395,1855791,1874222,1324393,2698468,278589,2785598,2244505
1329160	2512359,1876970,2188611,1041132,1827898,2486053,2786306,449420,910204,1111880,536047,784737,931652,256159,830073,624595,1901398,302585,2347920,215982,445231,1807819,41406,190855,1950626,778416,657183,823623,166946,2778525
1745580	1858323,1321852,1177391,2405602,2167510,2452583,998419,699104,786300,1025962,348466,1724149,1986324,2489151,292519,1811747,289704,1652258,2159445,2362873,925129,668932,1963763,1033740,1841463,947593,364428,1668683,987864,2681457
262160	2414157,1672383,2522554,2310855,2778525,1594246,1729618,650393,1244196,1378235,958875,1056667,817321,2491223,1928254,1897600,1534455,43306,2551714,2625619,30878,2007586,1583705,562740,1053542,2095252,2667212,1262409,1358161,545205
1955860	2201262,47446,2444655,1344680,1070667,2292688,1621502,349918,1075683,461590,1531221,2582260,2695235,2471130,1338516,2491392,961921,901429,745270,243727,1065390,2824594,337902,1538496,1851220,926828,35319,901645,1457893,1519194
2328600	1056667,2199621,1466890,1056463,2705759,1244196,254339,174892,784737,1725014,1330328,2625619,2205815,1589181,1166038,1776330,2606157,1386422,1310213,112055,1007214,2383137,1373660,2280346,775865,974620,634258,182933,1567110,2742030
1605660	725181,1782176,1165973,2711875,1211479,1576126,270411,2156629,1244787,2413494,1386412,343377,1325341,1729618,1069281,1244196,1140869,951143,481979,1643230,1966734,486936,437245,657183,468120,536047,1162250,784737,1274752,1953846
1384480	964787,2592187,519268,1057770,2697960,790718,2188683,582160,291669,920520,830345,1536621,1665933,516424,1496156,1652584,1447547,41406,178834,697461,2413675,1960921,1324393,2127850,882543,2790544,558722,673182,282920,2706536
2023460	641039,854994,116166,1905257,2549130,220713,2228095,1936659,2659798,1428284,2826993,1742604,810648,2671391,2426504,2262738,2282227,1244196,1576126,2159004,1044451,1582074,346257,1141367,2234172,613698,413752,1157322,1597166,1868621
921640	2489168,956277,1337011,1765833,1897541,2561602,578109,205039,300053,134624,1559696,2501356,1956960,256095,549186,2002097,1803671,2750191,488195,1624781,1796526,215873,1773912,863728,1841463,2778525,1183354,1244196,189171,387569
2533420	1175501,44221,472594,749431,2674722,3236,1389265,497562,1241464,2778525,685253,1868621,20956,2462518,2378684,1386412,2421983,2337857,2310865,115240,1687146,375301,1244196,657183,2785598,1917972,1920047,313851,2791339,1162250
2015280	536047,2327681,2197851,2413494,1319826,84180,288342,1217213,931519,882543,2745021,202516,1244196,595572,1071615,2778525,1053542,1576126,784737,1953773,1376955,291669,1056667,1386412,830073,415358,1162250,657183,2126784,955884
2017340	2568969,1534787,1928254,399306,2108431,2815485,1082233,1394175,2371498,928364,610668,2418664,1543602,278589,1711393,504668,650725,1390336,696554,1375432,1693127,723096,563434,1929919,1244196,1884665,2778525,1386412,1576126,1541359
