user_id	recommended_items
76800	2395026,1793593,2293641,784737,1063437,2224944,2477853,398809,2337484,1617570,1848945,1208167,956825,1244196,490302,862730,326608,880348,282769,2755404,671708,536047,976877,1994213,1442340,155380,474030,964497,1577023,1477419
884740	1707604,1729618,2778525,2484710,252577,687732,779190,1386412,2156629,2442750,657183,1317915,1369323,2593483,1636910,2500373,1281739,631200,204081,2462072,1422587,213792,2791339,313851,1695664,2637434,730450,194932,1093296,2187714
1329160	2786306,974665,1386412,2125645,2512359,291669,1111880,565828,166946,449420,1984327,1042196,681735,1876970,2778525,2611099,1041132,1669130,2661065,910204,2086041,784737,18872,780835,931652,2488684,672088,2188611,1267928,536047
1745580	2069769,2681457,2457247,794423,1321852,1033740,2452583,2828098,2167510,1841463,2686933,947593,2776360,1706416,1668683,1858323,2605798,987864,361904,1747820,998419,965122,2405602,1177391,2499593,422916,1244196,2038533,1449305,926332
262160	2414157,516194,2778525,1029509,1672383,2767278,1630006,657183,394762,1576126,300053,1983719,1520432,2308232,1984327,2522554,688689,784737,2639412,2486630,2264928,1386412,1503518,312943,2791339,482365,536047,2098322,2310855,1918242
1955860	2491392,2741243,226749,47446,2466937,2778525,1926741,488511,620656,2201262,961921,2148842,2027015,2165422,2256676,931519,654955,745270,1081513,2318880,790528,1499162,721583,2444655,1244196,2002432,668237,1191456,1855397,666316
2328600	1620315,1725014,1056667,1729618,1244196,541248,1466890,2489305,2205815,2199621,2429396,2705759,1265855,2625619,2219078,1533369,1836218,1330328,174892,1056463,1053542,931519,493460,822667,1894914,971239,784737,2005738,265522,1589181
1605660	2204482,725181,536047,2156629,2317716,1953846,1162250,1494431,2796479,1274752,468120,2689168,2395026,525712,1782176,1244787,1165973,784737,2778525,1139128,1416868,1386412,1233396,2413494,2593483,1850255,1269685,2420135,554207,1183442
1384480	2825431,959869,1575243,790718,2463309,291669,919845,2778525,964787,1849328,228623,2592187,89560,645719,2188683,1419906,1853489,2468803,2255841,2697960,1244196,1285688,309333,2686239,2240077,1057770,2086041,2178500,582160,1218402
2023460	2426504,2262738,2228095,1685522,346257,854994,2508820,1614416,387410,2671391,921541,2012231,1936659,1085517,641039,2282227,1151097,3236,1044451,2396714,2046549,535842,116166,2805162,2159004,2079251,1905257,2200859,1966145,1092821
921640	1559696,1153267,1309291,1155809,1897541,2489168,2778525,578109,1337011,1765833,2464226,1244196,956277,2561602,288342,1183354,2343171,124475,1021367,1984327,726718,134624,1516317,1103945,536047,189171,417278,148209,2501356,2422536
2533420	1370818,44221,817608,2778525,749431,2117630,1938881,1917972,1244196,1175501,472594,2267010,1096406,1130232,2785598,885730,1162250,1920047,469137,2329872,2166538,613934,1389265,2410078,1695664,657408,632632,657183,1693727,2674722
2015280	595572,1071615,2327681,536047,2778525,1244196,2197851,1319826,1053542,1953773,657183,1376955,1162250,1576126,2413494,2126784,291669,784737,1056667,84180,955884,1953846,1707404,835797,202516,2624004,2791339,882543,2373731,288342
2017340	2778525,2568969,2807989,723096,563434,321612,2108431,472040,1884665,1244196,1929919,1534787,1576126,2815485,2198252,399306,400328,2223865,1588611,652331,1394175,2067650,1082233,1928254,1828120,154934,1386412,1422963,1056502,463990
2091360	2075171,882543,536047,757657,781897,2778525,2825431,2113412,703051,830073,1340660,1948123,2603862,539569,2240077,784737,366249,76060,1244196,678463,2489725,1971458,429856,2047291,415097,81564,657183,1849328,2376560,606511
1452100	657183,2798189,1092821,2175294,2002097,573546,1286349,591409,2778525,1386412,1994724,1153267,536047,606511,307099,2336706,1072942,2685863,2663086,2603862,2288059,1428371,1053542,1857293,784737,1130555,798747,2498129,61908,1724087
473160	2402847,2450694,2761500,1730803,1828311,2158379,579230,2204705,1139459,1928254,409346,601275,483626,1747477,1032327,2756199,11466,1648491,307238,1704842,2223865,1696522,977977,5608,1811731,1953397,429908,2537077,2770369,1758736
2607180	1041709,2545416,2701383,1257035,1576126,2794661,1244196,1412721,1902625,1988160,2766686,1053542,2308364,954143,1021927,670777,1083860,1264219,79382,2772916,537228,1368635,637756,2026639,1897910,1438082,216914,608914,993678,638712
475220	1069281,1355401,1544285,1850468,2235444,2051097,145191,1754884,2694051,1386412,1961697,2456150,1706622,837656,2325510,49770,536047,2778525,1118970,1119495,2705146,2798665,1655469,769528,1928503,1781462,648769,1122960,2650926,714060
1602600	2468829,1727241,767563,878016,1521582,1624935,1969867,531061,844416,1905862,1900345,1867675,1808563,904965,809963,1056667,2778525,1829676,255688,1119495,2219078,1728871,2498181,486936,1762002,1092821,827566,932945,470426,784932
98660	399596,2208702,2283920,141568,1660962,2103368,2050227,33817,1944844,677711,436574,223971,512681,11931,2450694,2475636,2009453,1765511,2778525,2802116,739398,2336703,1108066,1218780,119763,875211,2113677,1058353,1443688,964898
421980	246814,485523,1244196,784737,536047,1437597,2778525,931519,333216,657183,360686,2696699,34237,1376427,2269402,830073,278589,2694645,941180,1386412,1053542,1988160,1162250,1056667,987162,1417195,1069281,1984327,209475,1707604
2193720	1405010,1355739,2778525,601275,1310271,2240777,1724167,38481,2816443,410249,1586072,1424612,1705918,2155431,2770369,742085,2369033,161547,1404491,118959,2303475,2450694,1576126,339000,2489151,173566,2514739,223250,1953397,1224033
2197600	343377,2002097,2446769,2442750,1938881,1162250,2774804,1729618,1386412,2253557,1984327,2235909,606511,1092821,1014012,342963,2603862,1516543,2389452,784737,2047291,1053542,2594163,657183,757657,266412,1583705,2031981,2007586,1140869
2426980	2617706,2581186,1640855,1056667,651855,1739986,640407,2205815,931519,1194598,859346,1585548,927565,973448,2473349,1811428,1397112,2581013,1166361,1330328,1093296,969539,2141327,11931,2770160,2251758,415358,1555334,1575935,541398
2078840	516417,2269283,738520,858678,2778525,478101,65789,2586032,2134619,176021,1695664,1244196,1474342,1015127,1053542,1219858,1012780,1495252,1056667,1151382,1985071,1576126,1884665,2037855,288342,665154,2779130,901588,2031703,459760
1433620	1559350,2699398,2763085,1709064,2518408,1953846,1576126,2596938,2687697,616971,1472958,1478897,270411,2816799,1064370,2710461,2629705,2778525,924565,1945674,2258756,2577004,2284464,474635,2146033,240132,1953794,1345750,1802288,1295570
2599040	490987,1003954,2829450,2683814,2508062,2009237,2484720,1604594,2294453,689497,1794684,1566231,2748150,2778162,1165000,392232,1553863,1496888,2506938,1658863,108752,2255401,109031,56993,1288246,2778525,333709,271936,2663455,1516543
825480	1241533,665112,1525983,9011,2778525,1244196,1379049,680810,987864,1530155,1053542,2616973,11271,2289666,759019,1081192,657183,2501316,494063,1849318,52403,596079,1162250,2824005,50597,979758,784737,1836572,784932,1150402
414060	2012165,1191749,750391,1244196,1729618,2435832,931519,744023,2049850,1200792,1407200,1477922,695897,2122406,2545416,2063098,1440265,927712,2462072,2625619,2583443,2083881,723096,374376,2205815,1289135,1727739,2309131,1550785,2738299
1515660	582838,1519625,1742787,1162250,472258,2778525,1934421,2371249,2484110,992296,787370,2039779,1704804,2627099,2561110,657183,1244196,2224523,1166382,826409,402007,79531,1053542,347267,1224232,1317915,1041709,2196857,341674,186606
1366040	1938881,1089692,497400,1244196,730450,2517641,102060,2690395,1140610,536047,1959963,1053542,2547284,1162250,1302317,1757314,1989349,1476699,2778525,2031981,2791339,1386412,1156803,2108575,2813294,830073,680340,208429,917992,2221131
766100	1576126,899111,828489,1671614,576605,1090310,2782162,81952,1829518,1887468,1550643,270411,1306810,1988490,2283042,430439,1679143,866258,1953846,1332669,2187173,34677,1656352,606511,2781618,943330,468120,928950,657183,388112
1251480	1288229,327225,2446769,1160495,657183,1040022,2778525,1732848,1583705,1711521,1718887,52413,1672211,972918,1932410,579292,2304192,2619683,1096406,1162250,2203488,2279476,1664426,2379156,209180,1238025,23303,2117630,1768289,2791339
1329860	1548189,1244196,2021714,1202010,2116470,907619,1519807,1053542,2096155,192728,2753842,2778525,1780396,1311888,270644,1386412,1823865,2775363,1440090,2767539,1300336,1462816,657183,677667,1129646,2635278,256250,2470778,1378512,2767419
528540	1244196,1386412,1286431,2446769,1595372,1525290,1162250,278589,854955,2409634,1069281,550933,725452,2571945,1337588,545940,1818555,1984327,606511,2791339,1583705,1140610,2603862,435592,1735661,1827027,1700809,1905649,657183,1953846
