user_id	recommended_items
76800	1442340,1208167,490302,1063437,1577023,1469617,330380,708153,1091578,27680,264667,1056667,398809,155380,1333841,2575832,2653086,1906071,926225,2813263,630257,238189,2772979,288404,2021391,878042,2005057,2343444,2311516,371857
884740	687732,1707604,2593483,1082312,1636910,1317915,2637434,1927732,1652258,2500373,1729618,387569,2277810,1928254,933025,2796479,2750191,194932,278589,1874222,2244505,1324393,2785598,2698468,1053542,1241464,1754395,1244196,1855791,1803686
1329160	2512359,910204,1111880,1876970,1041132,2188611,1827898,2486053,1729551,931652,830073,41406,2786306,449420,784737,536047,256159,657183,1950626,778416,624595,1901398,215982,302585,190855,1807819,445231,2347920,823623,1771822
1745580	2405602,1321852,1858323,1177391,2499593,2452583,2167510,998419,786300,699104,1724149,1986324,1025962,348466,2362873,292519,1811747,668932,1963763,925129,289704,2489151,1652258,2159445,1133256,1033740,1841463,1668683,364428,947593
262160	1672383,43306,1262409,2414157,2522554,2310855,1729618,1594246,2551714,817321,2625619,1897600,1928254,30878,1056667,1534455,650393,2491223,1244196,958875,1378235,2667212,2007586,1583705,1053542,562740,1358161,545205,2095252,18872
1955860	2201262,1070667,2292688,2218928,901429,47446,2444655,1344680,349918,1621502,1531221,2582260,1338516,461590,2695235,1075683,2471130,2491392,961921,745270,243727,1065390,2720356,337902,1538496,1519194,1457893,1011796,901645,926828
2328600	1056667,254339,2705759,1466890,2199621,1056463,2005738,1725014,1330328,2205815,174892,784737,1589181,775865,974620,2280346,1386422,1776330,1310213,2383137,1373660,1166038,1007214,1244196,2606157,112055,1440265,2742030,1567110,2394017
1605660	730450,725181,1782176,1165973,2711875,1211479,1576126,270411,2415033,1140869,2156629,1244787,1386412,2413494,1325341,343377,657183,437245,1643230,1729618,951143,1244196,486936,1966734,1069281,481979,468120,784737,1953846,1274752
1384480	964787,519268,2607136,920520,228623,2592187,2697960,1057770,291669,2200859,790718,2188683,582160,1536621,830345,1652584,178834,697461,1447547,882543,41406,1324393,1665933,1496156,516424,2127850,2413675,1960921,558722,673182
2023460	641039,116166,854994,1905257,220713,2549130,809639,2228095,1936659,1428284,2659798,810648,1742604,2826993,1565316,1244196,1576126,2778525,2426504,2262738,2671391,1044451,2282227,2159004,1141367,346257,1582074,2012231,2629771,2234172
921640	2489168,1337011,288342,956277,205039,300053,2343171,2561602,578109,863728,189171,1183354,1897541,1765833,134624,2501356,1803671,215873,549186,2750191,2002097,1956960,1624781,1773912,256095,1841463,1796526,488195,387569,2347920
2533420	472594,3236,2674722,44221,1175501,2410078,497562,749431,1389265,1241464,1386412,115240,2462518,2337857,375301,2378684,20956,1868621,1687146,2310865,685253,2421983,1766612,2778525,1244196,657183,313851,784737,2791339,1695664
2015280	536047,2413494,2327681,2197851,1319826,84180,202516,882543,288342,1217213,2745021,931519,1404301,1244196,2778525,1053542,784737,291669,1056667,830073,1576126,1386412,415358,595572,1071615,1953773,1376955,2126784,955884,1707404
2017340	1928254,2371498,278589,2568969,1534787,399306,588561,610668,928364,1543602,2418664,2108431,2815485,1394175,1082233,1711393,504668,1375432,1693127,650725,696554,1390336,1702384,1386412,1541359,723096,2778525,1244196,967007,2506235
2744920	343377,1269685,278589,1092821,1140869,1668572,1386412,784737,1093941,1928254,1143790,1244196,208429,2791339,657183,437245,2002097,1200699,1325341,57460,121811,777911,2766686,2335481,1595372,1033089,470426,472040,616416,2037477
1452100	591409,2276105,1994724,1955648,18872,2336706,2328730,265187,2507958,1562183,1386412,2593483,1053542,1857293,293317,2404002,1544601,2309613,1209189,1238916,2353766,584051,737834,311612,1663143,2158379,1092821,1240029,1695664,798747
473160	2325428,1953397,660938,1650710,2770369,345001,2761500,579230,2756199,5608,1773911,1952838,1840,1124496,1266128,2720391,2537630,1696371,2334068,881153,1472352,937146,1880420,1828311,2537077,1032327,1758736,601275,1516995,1434566
