user_id	recommended_items
76800	1848945,2395026,2413494,611630,255085,2832752,1092821,1244196,1041709,784737,992801,972388,2755404,536047,470426,976877,1213849,2002097,1442340,1386412,657183,1244787,1576126,926990,768905,2705351,2723743,1793593,1325341,1505460
884740	1636910,1920047,657183,2187714,2778525,1317915,1162250,2205815,2791339,313851,779190,1386412,1443706,830073,931519,1823148,2625619,1069281,2734883,1056667,1953846,468120,1695664,1652258,2156629,2770160,213792,288342,768905,252577
1329160	166946,2488684,226002,910204,470426,1502168,18872,1162250,323805,734196,1390011,1984327,1386412,2482136,2489959,1229563,388626,2778525,882543,291669,2086041,1895272,2673008,1576126,1244196,1111880,310988,2106311,2791339,303549
1745580	2405602,1092821,2397769,987864,446374,1376466,2778525,1684721,231348,1841463,2252270,947593,1668683,2457247,807419,1211919,1597121,1033740,364428,1576126,2413494,1069281,784737,877132,1244196,583935,1904703,1003558,2069769,2681457
262160	1576126,2778525,374376,830073,1330328,536047,931519,1953846,415358,6834,2770160,1386412,1884305,343377,2446769,1984327,1867675,1443706,2128544,2791339,784737,468120,1069281,2002097,657183,2106311,394762,1843150,1504722,1384259
1955860	2465901,1548909,226749,901429,603575,105999,1310205,1244196,2205047,2148842,1217373,701000,2611199,1918997,2778525,1404041,721795,488511,1855397,2256676,1576126,1443774,2201262,2799729,1081513,2294516,790528,2218928,2491392,2741243
2328600	2205815,2219078,1244196,2625619,1386412,2462072,616365,2770160,1953846,2128544,1576126,657183,1867675,2791339,1053542,2113458,1069281,374376,931519,415358,1062021,493460,2218230,536047,1056667,2155146,632873,2705759,254339,313851
1605660	468120,784737,1274752,1249278,2778525,1953846,730450,1583705,1053542,536047,2593483,1591624,2420135,2791339,2459081,1679143,1984327,668146,1162250,830073,388112,899111,650831,470426,1622709,1140869,1996055,1233566,1269685,72465
1384480	228623,291669,2200859,1907046,2825431,2463309,244777,2235265,964435,589441,828489,309333,2216717,2686239,2228294,2396714,2760857,604795,1686571,427450,2086041,2391945,2255841,645719,2778525,920520,1724584,672580,2182715,908778
2023460	2778525,1244196,1576126,1053542,613698,413752,1917972,2671391,1157322,584053,89649,2159004,1272956,2426504,2822663,2593483,2012231,2079251,2629771,1141367,2262738,1582074,1597166,1868621,400233,1284333,2227116,1365692,952267,1044451
921640	1183354,189171,578109,1337011,288342,1559696,2734883,536047,1244196,2778525,479345,1636910,2437289,1664453,1695664,2422536,2744235,2462518,300053,784737,2470569,657183,205039,1053542,781759,2705662,2561602,1739986,417278,901190
2533420	2778525,784737,657183,2791339,313851,1695664,1244196,343377,469137,692852,3236,2674722,2650926,472594,74864,1576126,1096406,2734883,1119495,2094038,2117630,2785598,1162250,1917972,1920047,536047,779190,258905,2002097,486936
2015280	536047,415358,1053542,2413494,784737,291669,1056667,1244196,1386412,1576126,2778525,830073,1162250,1196981,2126784,2624004,169147,1827898,1583705,595572,2714056,2791339,2205815,2489959,2106311,1071615,1343437,15888,1984327,1478910
2017340	1541359,1386412,278589,2778525,1884665,1244196,2097556,2506235,536047,1069281,2124917,723096,468120,1053542,1258963,967007,1576126,2371498,2348229,1799849,1092821,674900,2418664,2542975,657183,2067650,2706590,334342,2517894,2406082
2091360	2825431,1771822,1430325,830345,1244196,882543,1907046,2778525,2235265,1895272,1686571,291669,269512,2006954,1031133,830073,81564,2148812,1984327,964787,604795,1447547,1044142,1824686,919845,536047,1028918,1033253,2489725,2328948
1452100	1695664,536047,1053542,1758736,1386412,2593483,288342,1576126,784737,468120,657183,1069281,2002097,1953846,830073,2778525,470426,2791339,1162250,2663086,2106311,2489959,1984327,1774071,1119495,343377,459760,2031981,1443706,1583705
473160	1516995,1981831,1032327,1828311,2325428,601275,1434566,2537077,1222493,1758736,660938,1260798,549050,1911762,1030406,1953397,1586072,2820888,192484,723096,2098500,2106404,2402847,483626,2450694,1894150,463226,2020146,2270418,960549
2607180	405439,1576126,1244196,1053542,784737,1953846,1988160,1069281,468120,993678,882152,637756,2148834,2665493,399596,2755320,813640,1162250,1386412,1624781,2669570,2811370,638712,657183,1368635,1025299,261110,964898,598306,410070
475220	2791339,2778525,1162250,1069281,1386412,2079278,1874222,2002097,1961697,1713185,2595592,1935876,1984327,648769,205039,1119495,1053542,1324393,2051097,1664453,38141,2369810,2345993,827852,1701736,536047,978818,1092821,757533,2631613
1602600	1727241,1969867,1624935,1521582,1092821,904965,43306,184362,6834,2778525,1331629,1244196,1366236,1508891,1808563,422895,1525414,19682,1226034,2498181,531061,2023320,1480436,1330328,2247652,1491575,1001431,767563,2778162,223893
98660	2272378,1958145,1218780,2780989,1058353,2475636,399596,1968512,828246,766060,1574295,1770875,1402355,2729978,1624781,276031,1992803,2050227,512681,2786340,2334188,85707,11931,1785791,348019,2109118,1571702,2675646,1193921,2778525
421980	657183,2791339,1244196,536047,830073,1953846,291669,1069281,1984327,1162250,1056667,2205815,360686,1771822,1386412,549843,1576126,468120,2106311,1053542,2778525,2738653,333216,734196,599879,2321803,1025299,246814,1443706,1659808
2193720	1355739,2489151,955230,2778525,1193474,1742604,1724167,2303475,593523,1053542,1405010,1576126,1092821,1663197,410249,1244196,1884900,1586072,339000,2163770,173566,2002097,976877,2631289,239217,1424612,1386412,988952,1986324,1754459
2197600	2446769,1162250,1776330,1443706,343377,266412,1386412,1069281,1092821,470426,2031981,687732,1984327,1053542,2423978,2778525,1679143,1953846,72465,734196,2593483,1269685,468120,2489959,1851386,2466095,2313894,1140610,2571945,2774804
2426980	1056667,415358,1811428,1053542,931519,1062021,1194598,2205815,1966003,616365,584772,1867675,2625619,927565,1001431,770454,1277973,1330328,43306,2581186,2579338,617858,1559696,2462072,1640855,1309291,1819338,128817,688689,1166361
2078840	2207091,1053542,516417,999151,784737,829493,459760,1056667,288342,665154,830073,2778525,1695664,1244196,873458,2646953,247719,286874,1219858,2109793,702176,2774804,696554,445166,2423258,757533,1971513,738520,1583868,1241464
1433620	616971,2258756,667505,2778525,1048520,1953846,1996055,1576126,2146033,1244196,270411,1345750,1559350,1064370,2126869,17632,666316,877140,2566671,2818914,2661870,1740190,2699398,470725,121929,2763085,2284464,2518408,1812428,1656352
2599040	2748150,2663455,2683814,1288246,2009237,1564530,1922872,109031,547654,56993,1701454,477856,2382674,510461,466934,2294453,246700,426324,1516543,2201823,689832,1165000,2769464,2327774,1566231,995682,108752,1244196,817597,689497
825480	536047,1053542,2778525,343377,1244196,784737,1386412,1443706,1162250,2653238,830073,657183,1069281,2031981,1984327,499178,1851386,1316860,2660436,1836572,1362357,1583705,769613,884304,2557272,52403,2205815,1680023,2382710,2446769
414060	374376,745361,688689,685023,2205815,657183,1576126,6834,1053542,1437485,2770160,2462072,399435,2625619,2778662,1793593,2615456,1244196,1162250,1591891,1867675,931519,650989,1069281,2083881,1577756,1966003,2155146,2063098,1440265
1515660	2002097,1162250,2561110,1053542,343377,784737,1386412,657183,472258,2778525,2198329,1776930,1166382,1934421,301789,1746628,289491,1317915,1729618,2371249,826409,2196857,1041709,838520,1742787,1928254,897570,177804,2347920,992296
1366040	1477734,1089692,203784,830073,1244196,1162250,2172558,784737,1386412,1316860,2106311,536047,1679143,1959963,952014,1443706,343377,859709,2031981,712300,1984327,2791339,2701383,2189426,497400,2545674,447985,1069281,589524,2833871
766100	1671614,1550643,270411,1576126,2459081,899111,2420135,1317754,1953846,1244196,468120,470079,668146,2784272,1679143,1583705,2778525,1753558,1162250,1778279,1053542,1386412,725181,912479,1119145,1656352,657183,1025695,1460778,2006769
1251480	1932410,579292,1732848,2117630,1583705,1096406,1069281,468120,1386412,657183,1576126,2771009,2778525,1029876,1984327,1953846,2619683,536047,1162250,830073,698891,2791339,198108,2614865,1851386,343377,266412,1714427,1729618,1288229
1329860	2055902,1780396,1462816,2175903,1244196,2775363,2096155,2588710,2470778,192728,1519807,1053542,2767539,2021714,1162250,1033089,2203636,2791339,121811,2358007,1386412,657183,1920047,2588490,343377,2183288,103079,2718966,1525290,784737
528540	569889,1244196,668146,2313894,1984327,830073,1854085,266412,1386412,1776330,1679143,2106311,2791339,1053542,1953846,343377,2031981,784737,2446769,1583705,1818555,1069281,536047,470426,468120,2423978,1096406,2778525,1472716,1286431
819360	2778525,616365,2205815,2445350,1755502,2004689,1330328,584772,2128544,357363,2625619,1998362,43306,172858,2468829,1062021,53221,1728166,697882,1244196,1969867,1194598,1728143,174495,657183,499178,6834,767563,1708630,852794
1646760	1053542,2607585,657183,830073,436574,874501,268793,1386412,461272,1854295,964898,784737,2822823,640407,2409634,1576126,1373344,536047,1953846,1079665,3236,1162250,2729978,278589,654736,399596,327358,1477734,2330010,455214
1343660	2117618,2650926,1765833,555624,77575,2637434,288342,1162250,850402,2635038,536047,1053542,2277810,1155809,2778525,688781,2505741,970200,2283348,2734883,1920047,2791339,1688110,657390,2073990,266425,928313,1300325,1037296,1535344
67760	2165626,882543,1053542,1646349,2086041,1686571,280241,244777,1827898,1381452,2356410,115678,2294438,55390,1604145,59063,2146119,1285054,1346850,1576126,2499846,2298293,2437313,2652981,2751501,90273,2434217,2025105,1386412,1209072
806600	1443706,1092821,343377,2489959,2791339,2187714,2827170,1583705,1604145,266412,2106311,2466095,1851386,1069281,687732,1984327,2593483,1776330,2031981,734196,1679143,536047,1576126,2313894,1953846,830073,468120,374376,2302683,1119495
1898680	1430325,2396714,2228294,1447302,1907046,2348573,1895272,645747,2272711,228623,908778,1835742,269512,1053542,662309,2200859,1494361,964435,1865831,784737,2590469,310988,1686571,1398399,2825431,2216717,672580,2285061,2760857,830345
1063100	1284580,640407,290457,2778525,226470,1974801,1759332,71640,2475636,1042804,854521,348019,1388459,1032110,133813,179716,828246,839793,1659908,2204424,615958,1690290,1867557,1877413,333000,2064292,289491,1320971,1065538,2539234
485900	1962663,1576126,343377,2466095,1679143,2791339,1550643,2577886,1162250,2141141,873080,2018868,2347251,549843,2423978,72465,2713312,2106311,1984327,2818914,1582206,2031981,1269685,1274752,1295570,375717,1008509,569889,954509,266412
2674880	784737,1162250,1244196,1069281,1583705,1386412,194932,1835742,1635821,935545,2235265,1895272,470426,662309,645747,1285047,1053542,1430325,828489,672580,2272711,1865831,1576126,269512,1984327,1686571,2491223,1953846,2015174,1213698
2828320	1417963,1633706,2465606,2531162,1212020,879992,655715,2778525,2694400,2339838,278589,2620827,48149,1635340,1386412,1313179,1282647,2780722,1608954,1533369,1707917,873045,1244196,1996459,1087987,1636910,1576126,2134022,2313894,1729618
784580	266412,1851386,1162250,1679143,343377,784737,196659,1386412,1443706,1526269,1140610,830073,2446769,1244196,2037855,650831,569889,734196,2713312,873699,1776330,536047,2489959,2466095,1008509,954409,2031981,673299,587796,1469274
1079500	1209346,903789,784737,278589,171721,1244196,1386412,562768,1041651,783031,536047,500215,619298,1806902,595394,2796178,1362070,2778525,355905,2060596,335428,2593483,1233651,2120398,669489,806417,875777,2002097,1092821,2015264
379940	1025299,1244196,2625619,931519,2774804,1988160,2770160,2822479,1438082,2470649,2778525,2820720,638712,374376,1386412,1162250,1069281,1056667,1119926,784737,1591891,1599371,2205815,1477734,1053542,1083860,468120,657183,270411,2442750
1048800	2778525,1576126,657183,185229,2724276,1659908,141483,1749097,1583705,1150657,1504472,1386412,1053542,1162250,1690290,726686,2778530,1058353,2053655,1953846,2327774,2347945,468120,712300,333000,1888355,1826943,528854,261110,1443706
1736060	237753,572260,1239812,1652656,1654567,236121,1361277,41264,1653484,2807456,589636,2504635,1039330,761114,376501,2145913,2036917,2530409,2077064,2779604,1726043,945727,1799502,2559015,1384642,2816193,1031905,868348,2247923,1737395
1419500	1069281,1895272,1494361,979531,1244196,604795,908778,2778525,784737,310988,657183,1053542,1516336,1953846,2312162,41406,1376058,830345,291669,1340660,672580,1285047,1576126,1195970,544329,830073,920520,1686571,1679143,2491223
2253040	1053542,1244196,1576126,278589,1056667,270411,1953846,1701736,468120,657183,231115,460717,2093746,784737,1386412,1330328,536047,1162250,1626047,2205815,2638669,2770160,2755404,2705759,1082523,1443706,126842,220889,1696280,2832752
230440	657183,1443706,536047,2313894,1162250,830073,468120,784737,2420135,1953846,2778525,2106311,2791339,1583705,1984327,343377,2446769,1386412,1679143,266412,270411,1053542,2306574,2031981,668146,803962,687732,2593483,2187714,1729618
332020	1196981,876529,1001431,697882,2468829,1056667,1808563,313862,1727241,767563,1969867,469386,1676825,2498181,2265660,2778525,567823,443494,476792,1244196,1226034,764484,34611,2205815,172858,1900345,2810376,745361,1626201,2004689
