user_id	recommended_items
76800	2293641,1063437,2224944,398809,2337484,1617570,862730,326608,880348,282769,671708,1994213,155380,474030,964497,1208167,1577023,1477419,2390058,2477853,1333841,1162250,1308041,1848945,1373867,1469617,2380717,2575832,2653086,784737
884740	2484710,1386412,1707604,2442750,1729618,1369323,2500373,657183,1281739,631200,204081,1422587,194932,1093296,2593483,730450,1376308,1514174,387569,2778525,472040,2774804,2304079,1082312,343377,278589,2791339,2277810,2789080,415653
1329160	2786306,449420,1876970,2778525,1041132,681735,1669130,2661065,291669,784737,565828,780835,672088,2188611,1984327,1267928,536047,1827898,931652,974665,2512359,256159,2486053,518862,1244196,675129,1729551,2125645,2086041,1162250
1745580	1321852,1033740,2452583,2828098,2167510,2686933,1706416,1858323,2605798,2681457,361904,998419,1177391,2499593,422916,1244196,1841463,2038533,2776360,1449305,926332,364428,2405602,2280346,642850,947593,2457247,794423,807419,786300
262160	2414157,516194,2778525,1672383,1630006,657183,1520432,300053,2767278,2522554,1503518,2308232,1983719,482365,2098322,2310855,1918242,1729618,784737,78655,1029509,1594246,978349,2701725,2639412,813177,394762,30822,1320657,2791339
1955860	47446,2778525,961921,2027015,654955,745270,2201262,2318880,1499162,226749,721583,2444655,2491392,2002432,668237,1191456,488511,666316,1344680,1349908,243727,2213069,25353,1873950,349918,1855397,53221,1834588,1621502,715061
2328600	1620315,1729618,1244196,541248,1466890,1056667,2199621,1265855,1533369,1836218,174892,1056463,822667,1725014,1330328,1053542,784737,931519,2005738,1589181,2515973,2563153,1075790,90754,1884665,1576126,2786471,1656661,490302,1126245
1605660	2204482,725181,2156629,2796479,2395026,525712,1782176,1244787,1165973,536047,1416868,1386412,2413494,784737,1850255,2689168,554207,1183442,2711875,1426362,1269685,1325341,1211479,2757146,1162250,158625,139329,343377,1352246,1112507
1384480	790718,919845,2778525,1849328,2592187,1575243,2188683,964787,2697960,1853489,959869,1057770,2178500,582160,1218402,1285688,2468803,1536621,874570,1419906,309333,830345,979368,782728,645719,724728,589441,2832425,1907046,799729
2023460	2426504,2228095,1685522,854994,2508820,1614416,387410,2671391,921541,1936659,1085517,641039,2262738,1151097,3236,1044451,2396714,2046549,535842,116166,2805162,2159004,1905257,2200859,1966145,1092821,411199,1428284,899111,1141367
921640	1153267,1897541,1765833,2464226,1155809,578109,2561602,1309291,2489168,2343171,956277,2778525,1021367,1559696,1244196,726718,134624,124475,1103945,417278,1516317,148209,2501356,2177824,1803671,2502800,2050087,189171,1984327,1175964
2533420	1370818,44221,817608,749431,1175501,2267010,1130232,885730,2329872,2166538,613934,1389265,2410078,1244196,632632,1693727,2637434,2785598,1241464,1784347,1162250,1253184,1657887,2435983,1184328,1437884,360020,2117630,77185,657183
2015280	595572,1071615,2327681,1244196,2197851,1319826,2778525,1953773,657183,1376955,1162250,1053542,2126784,536047,84180,955884,1953846,1707404,202516,2413494,2624004,2791339,882543,2373731,835797,288342,1583705,1343437,2086041,784737
2017340	2568969,723096,563434,321612,2108431,2778525,1929919,1534787,2815485,2198252,399306,400328,1588611,652331,1394175,1244196,2807989,1082233,1828120,1711393,588561,1056502,364416,408617,967007,504668,826843,610668,1928254,1028739
2091360	2075171,757657,781897,2113412,1340660,1948123,2603862,539569,2240077,366249,76060,536047,678463,2778525,1971458,429856,2047291,415097,81564,657183,1849328,2825431,2376560,606511,58071,2760857,830073,2113787,674319,1757829
1452100	2798189,2175294,573546,606511,307099,591409,2685863,2603862,2288059,1428371,1857293,1130555,798747,61908,293317,2778525,2047291,1729618,2547284,2498129,970200,2424619,1092821,268014,2223192,822259,2547597,1485380,571759,2323802
473160	2450694,2761500,1730803,2158379,579230,2204705,1828311,1139459,1928254,409346,2756199,11466,1648491,307238,1704842,483626,977977,5608,1811731,429908,463226,1478289,1696522,2537077,1979540,1773911,1747477,1032327,213839,1952838
2607180	1041709,2794661,1412721,1902625,2545416,954143,670777,1083860,79382,537228,1897910,1257035,1438082,1244196,608914,585228,1345778,1576126,2361217,707733,747193,2755320,1780723,1133325,2486053,1238891,545278,1053542,993678,2026639
475220	1355401,2235444,1754884,2456150,1706622,837656,49770,536047,1118970,2705146,1655469,2798665,769528,1069281,1781462,2650926,714060,2095873,2543197,2593483,648769,1160495,2142956,1580946,2621781,1172540,1718844,1665819,1119495,289958
