user_id	recommended_items
76800	1442340,1208167,490302,1848945,2395026,2413494,1056667,371857,1705749,27680,504684,1927732,905623,404443,2772979,2653086,611630,255085,238189,708153,2832752,2343444,264667,2021391,2005057,1063437,1092821,2091996,330380,1244196
884740	1636910,687732,1707604,1082312,1317915,2593483,1652258,1927732,2637434,2796479,1729618,1920047,657183,2187714,2778525,1162250,2205815,2791339,313851,779190,1386412,2750191,1053542,2500373,1244196,1754395,1443706,933025,830073,194932
1329160	910204,2512359,1111880,166946,931652,2488684,226002,41406,830073,470426,2786306,1827898,449420,624595,2188611,823623,1901398,302585,1041132,1502168,2347920,256159,1729551,1876970,1771822,215982,2486053,445231,1807819,190855
1745580	2405602,348466,1025962,1724149,2499593,2167510,699104,1986324,1811747,2489151,292519,1133256,289704,1858323,998419,1652258,2159445,1321852,786300,2452583,2362873,925129,668932,1177391,1963763,1092821,2397769,987864,446374,1376466
262160	1672383,43306,1262409,2007586,1576126,650393,1583705,2414157,1244196,562740,1056667,958875,1378235,2778525,817321,374376,18872,2491223,1053542,2522554,1594246,1928254,1729618,830073,1897600,2667212,2095252,1534455,2551714,1330328
1955860	2201262,2218928,1070667,2292688,901429,2491392,745270,337902,2824594,2156629,2465901,961921,1538496,70423,1075683,461590,1621502,2755766,1548909,226749,1531221,2582260,1851220,926828,527344,2695235,35319,47446,350810,1065390
2328600	1056667,2205815,2705759,254339,2219078,1725014,1330328,1244196,2625619,1386412,2005738,1776330,1166038,1437485,1589181,2606157,2462072,634258,1386422,182933,616365,1310213,2770160,1567110,2742030,1953846,2128544,174892,1056463,112055
1605660	730450,1140869,468120,1729618,2413494,1165973,784737,1069281,1274752,1244196,270411,1249278,725181,343377,2778525,481979,951143,1643230,2156629,1325341,1211479,1966734,2415033,486936,1386412,1953846,1576126,437245,1782176,2711875
1384480	519268,2607136,964787,228623,291669,2200859,920520,1907046,1665933,2790544,516424,2825431,2592187,558722,830345,1496156,1652584,1447547,41406,790718,673182,178834,1057770,2463309,697461,244777,2697960,282920,582160,2706536
2023460	116166,641039,2659798,809639,2826993,1428284,1565316,1905257,1742604,2228095,1936659,2549130,220713,854994,810648,2778525,1244196,1576126,1053542,613698,413752,1917972,2671391,1157322,584053,89649,2159004,1272956,2426504,2822663
